epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,99.6364,0.37798,0.87086,1,0.26988,0.000553839,0.000553839,0.000553839
2,200.538,0.28121,0.87987,1,0.25323,0.000889823,0.000889823,0.000889823
3,301.109,0.25915,0.89543,1,0.22645,0.00100576,0.00100576,0.00100576
4,394.066,0.23538,0.91135,1,0.19878,0.000676802,0.000676802,0.000676802
5,489.259,0.20264,0.92858,1,0.16643,0.000346736,0.000346736,0.000346736
